# Trip recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726563439239
# End timestamp: 1726664212681
# Trip type: 3
# Drive time: 31389914
# Used energy: 135915.16110147838
# Used SoC: 0.0
# Used Soc (Energy): 0.0
# Driven distance: 730146.7889205553
# Note:
# Last edited: 1726604529250

Timestamp;Energy delta;Distance delta;Point Marker Type;SoC;lat;lon;alt
1726566090527;15.0712;123.5687;;0.26;62.026489;7.508235;910
1726566094829;12.7107;104.1223;;0.26;62.026516;7.510568;908
1726566099028;11.9854;101.7316;;0.26;62.026516;7.510568;908
1726566103228;11.9866;101.6812;;0.26;62.026615;7.512895;907
1726566107529;13.2734;104.0010;;0.26;62.026741;7.515215;906
1726566111729;19.6833;101.1739;;0.26;62.026821;7.517538;906
1726566115928;26.8041;100.9677;;0.26;62.026814;7.519849;907
1726566120227;31.6883;103.6941;;0.26;62.026760;7.522171;908
1726566124527;29.6091;104.0567;;0.26;62.026760;7.522171;908
1726566128728;24.7153;102.0774;;0.26;62.026745;7.524496;911
1726566132929;18.0552;102.2058;;0.26;62.026829;7.526829;911
1726566137127;13.9208;102.2792;;0.26;62.027042;7.529130;911
1726566141329;11.9277;102.0306;;0.26;62.027336;7.531387;910
1726566145627;13.4795;104.1337;;0.26;62.027622;7.533648;908
1726566149829;20.4054;101.0243;;0.26;62.027729;7.535960;909
1726566154130;32.4708;103.0866;;0.26;62.027729;7.535960;909
1726566158428;37.2367;103.4101;;0.26;62.027725;7.538262;911
1726566162628;30.0887;101.9523;;0.26;62.027805;7.540565;914
1726566167028;20.3228;107.4054;;0.26;62.028137;7.542792;915
1726566171129;9.9800;100.2128;;0.26;62.028713;7.544792;914
1726566175330;3.4124;102.7405;;0.26;62.029461;7.546531;913
1726566179628;3.4880;104.8529;;0.26;62.030231;7.548226;911
1726566183927;3.4699;104.6009;;0.26;62.030231;7.548226;911
1726566189131;4.2548;125.7471;;0.26;62.030872;7.550132;909
1726566193329;11.2464;100.8708;;0.26;62.031231;7.552322;907
1726566197527;16.1232;101.0822;;0.26;62.031265;7.554625;905
1726566201728;20.9654;101.1230;;0.26;62.030975;7.556849;905
1726566205929;23.9277;101.0755;;0.25;62.030380;7.558791;905
1726566210228;28.5204;103.6713;;0.25;62.029560;7.560318;907
1726566214429;30.3792;101.4410;;0.25;62.029560;7.560318;907
1726566218728;29.6078;104.1021;;0.25;62.028660;7.561626;908
1726566223029;27.1564;104.2954;;0.25;62.027782;7.563017;910
1726566227228;21.3117;102.1140;;0.25;62.026997;7.564652;911
1726566231428;16.1082;102.1917;;0.25;62.026337;7.566526;912
1726566235627;11.7498;102.2260;;0.25;62.025822;7.568595;910
